iter	RMSE
246	4112.652234
247	4112.074479
248	4111.000745
249	4109.648358
250	4108.539338
251	4104.743055
252	4103.886161
253	4101.795559
254	4101.180007
255	4100.314883
256	4099.276724
257	4097.659679
258	4097.301165
259	4095.951504
260	4094.389179
261	4091.944929
262	4090.770692
263	4089.962435
264	4088.965252
265	4085.851146
266	4084.795353
267	4084.132535
268	4083.167117
269	4080.089995
270	4078.271702
271	4076.073989
272	4074.348154
273	4073.521358
274	4073.183975
275	4069.940086
276	4069.227079
277	4066.941939
278	4065.034353
279	4063.142256
280	4061.73309
281	4060.235522
282	4059.061667
283	4058.17726
284	4056.324571
285	4055.411455
286	4054.187502
287	4053.167915
288	4052.269096
289	4051.258388
290	4049.9113
291	4048.080382
292	4047.209945
293	4044.710883
294	4044.101941
295	4041.316651
296	4039.896381
297	4038.226284
298	4036.954945
299	4035.503454
300	4034.644246
301	4032.148888
302	4030.581632
303	4028.341934
304	4026.517258
305	4024.822722
306	4024.129701
307	4023.248883
308	4022.228591
309	4020.488756
310	4019.212501
311	4018.357586
312	4017.579485
313	4015.381004
314	4013.520985
315	4011.886841
316	4010.594945
317	4009.869926
318	4008.413176
319	4007.853073
320	4006.918205
321	4005.094397
322	4004.344424
323	4004.070198
324	4003.473991
325	4002.733399
326	4002.272731
327	4000.379585
328	3999.330899
329	3998.698339
330	3997.325883
331	3996.197036
332	3995.326948
333	3994.576345
334	3993.253677
335	3992.821844
336	3989.769815
337	3989.403132
338	3988.283227
339	3987.310377
340	3986.617001
341	3985.075561
342	3983.959098
343	3983.419353
344	3982.32987
345	3981.029691
346	3979.689445
347	3977.725601
348	3977.190488
349	3976.019829
350	3975.39927
351	3974.278497
352	3973.851293
353	3973.317192
354	3972.681045
355	3971.757684
356	3970.900666
357	3969.023292
358	3967.570245
359	3966.020448
360	3965.48825
361	3964.398539
362	3963.254208
363	3961.671266
364	3960.305623
365	3956.189107
366	3954.90179
367	3954.406963
368	3953.874793
369	3953.264451
370	3952.38675
371	3951.311523
372	3950.852008
373	3947.338812
374	3946.812204
375	3946.197415
376	3945.148442
377	3943.697795
378	3942.063837
379	3940.621127
380	3939.576826
381	3937.718036
382	3937.267603
383	3935.510291
384	3934.763193
385	3933.46926
386	3931.918246
387	3930.831333
388	3930.386724
389	3930.03485
390	3928.096402
391	3926.14586
392	3924.38861
393	3923.005765
394	3922.162623
395	3921.642385
396	3921.292175
397	3920.467522
398	3920.03087
399	3918.889772
400	3916.98873
401	3916.502341
402	3914.720369
403	3913.079655
404	3912.525864
405	3912.183016
406	3910.748804
407	3910.211665
408	3908.69643
409	3907.804798
410	3906.685708
411	3906.283895
412	3905.206313
413	3904.281181
414	3902.933261
415	3902.325066
416	3902.028118
417	3901.637317
418	3900.725021
419	3899.854412
420	3898.861484
421	3897.374441
422	3896.388396
423	3895.672861
424	3894.462059
425	3893.990037
426	3893.234721
427	3891.146381
428	3890.4536
429	3889.627334
430	3888.446358
431	3887.934654
432	3887.485794
433	3886.857935
434	3885.812605
435	3884.850106
436	3884.108411
437	3882.459985
438	3882.003041
439	3881.36244
440	3880.266887
441	3879.533194
442	3878.811897
443	3877.940562
444	3877.749909
445	3877.24651
446	3876.31443
447	3875.754503
448	3875.493202
449	3874.865419
450	3874.408832
451	3873.963998
452	3873.22387
453	3872.906229
454	3871.966776
455	3870.827828
456	3870.00362
457	3869.153244
458	3868.394485
459	3867.424163
460	3865.890006
461	3865.538634
462	3864.728076
463	3863.643715
464	3862.831481
465	3861.863186
466	3861.126871
467	3860.503252
468	3859.911166
469	3859.562385
470	3858.844633
471	3858.391152
472	3857.080401
473	3856.359992
474	3855.516457
475	3854.545862
476	3853.842397
477	3852.47333
478	3852.053634
479	3851.648588
480	3851.207751
481	3849.817805
482	3848.859817
483	3847.953631
484	3847.354164
485	3845.977907
486	3845.101611
487	3843.830193
488	3843.126883
489	3842.594917
490	3841.602027
491	3841.11519
492	3839.822369
493	3837.119602
494	3836.56782
495	3834.915361
496	3833.692043
497	3833.536854
498	3832.39849
499	3832.014592
500	3831.181565
501	3830.598003
502	3830.336446
503	3829.12677
504	3828.17581
505	3827.438029
506	3826.365584
507	3825.982034
508	3825.134091
509	3824.312514
510	3823.519743
511	3823.130761
512	3822.117448
513	3821.515215
514	3821.217445
515	3820.351865
516	3819.645878
517	3818.626796
518	3818.19712
519	3816.383718
520	3815.803186
521	3815.057673
522	3814.108759
523	3813.605786
524	3812.382889
525	3811.543351
526	3808.485118
527	3807.543384
528	3807.216436
529	3806.915035
530	3806.127722
531	3805.731359
532	3805.138356
533	3803.940299
534	3803.09248
535	3802.431126
536	3802.048942
537	3801.327517
538	3800.571038
539	3799.36365
540	3798.098749
541	3796.792102
542	3795.833367
543	3795.089437
544	3794.479213
545	3793.689331
546	3792.703427
547	3792.032044
548	3791.303895
549	3790.293573
550	3789.974387
551	3788.942406
552	3788.381887
553	3787.924863
554	3787.511945
555	3786.839273
556	3786.225618
557	3785.50523
558	3784.890929
559	3784.164776
560	3783.83935
561	3783.527162
562	3782.412013
563	3781.370205
564	3780.128253
565	3778.62819
566	3777.316001
567	3776.989912
568	3776.0492
569	3774.844553
570	3772.746966
571	3770.864213
572	3770.059738
573	3768.886419
574	3767.370201
575	3766.287521
576	3765.901023
577	3765.211384
578	3764.132098
579	3763.593956
580	3762.896781
581	3762.563269
582	3762.001401
583	3761.445934
584	3761.057523
585	3760.567034
586	3759.339525
587	3758.516208
588	3757.057124
589	3756.170074
590	3755.556063
591	3753.936234
592	3753.430005
593	3752.183001
594	3751.111831
595	3749.60396
596	3748.576154
597	3747.704008
598	3746.70275
599	3746.346962
600	3745.721486
601	3744.716055
602	3743.773218
603	3743.06176
604	3742.648175
605	3742.275989
606	3741.777283
607	3740.65969
608	3740.404821
609	3739.924441
610	3739.083957
611	3738.768105
612	3738.311177
613	3737.356884
614	3736.279574
615	3735.35498
616	3733.73687
617	3733.305927
618	3732.378761
619	3731.238355
620	3730.97811
621	3729.76642
622	3729.356042
623	3728.824036
624	3727.012099
625	3726.499692
626	3726.143658
627	3724.542141
628	3724.330068
629	3723.525243
630	3723.007933
631	3721.813215
632	3721.460383
633	3719.926427
634	3719.557192
635	3718.819984
636	3718.583123
637	3717.968378
638	3716.990467
639	3716.67564
640	3715.905565
641	3715.48285
642	3714.777418
643	3714.515499
644	3713.540645
645	3712.730868
646	3712.103591
647	3710.500381
648	3709.85235
649	3709.526951
650	3709.295934
651	3708.630057
652	3708.050172
653	3707.585065
654	3706.704034
655	3705.590718
656	3704.127443
657	3703.431254
658	3702.69674
659	3702.254651
660	3701.843843
661	3701.077392
662	3700.862606
663	3700.549649
664	3697.73132
665	3696.762055
666	3695.943662
667	3695.354072
668	3695.14733
669	3694.584904
670	3693.982367
671	3691.471129
672	3691.136905
673	3690.048543
674	3689.209003
675	3688.174482
676	3687.931736
677	3686.999692
678	3685.688766
679	3685.36023
680	3684.847565
681	3684.353656
682	3683.390356
683	3683.031757
684	3682.014443
685	3679.721057
686	3678.475291
687	3677.209002
688	3676.471617
689	3675.675381
690	3675.069341
691	3674.787146
692	3674.263356
693	3673.707683
694	3673.346223
695	3672.933213
696	3671.775094
697	3671.260394
698	3670.201373
699	3669.719318
700	3669.011482
701	3668.440081
702	3667.958127
703	3667.74052
704	3666.418332
705	3666.187513
706	3665.090621
707	3664.837985
708	3664.196363
709	3663.181279
710	3662.591602
711	3662.056524
712	3661.564568
713	3660.918956
714	3660.551342
715	3660.199411
716	3659.494762
717	3658.891758
718	3658.283467
719	3657.763147
720	3657.183836
721	3656.855757
722	3655.621055
723	3653.678627
724	3652.946697
725	3652.358337
726	3652.087461
727	3650.977286
728	3650.362853
729	3650.173167
730	3649.470751
731	3648.355467
732	3647.57137
733	3647.304174
734	3646.815389
735	3646.31612
736	3645.203722
737	3644.346477
738	3642.963854
739	3642.161572
740	3641.161625
741	3640.563276
742	3640.156254
743	3639.862713
744	3639.251283
745	3638.689078
746	3638.022378
747	3637.672663
748	3637.427272
749	3636.911014
750	3636.03397
751	3635.542887
752	3635.160673
753	3634.918436
754	3634.048529
755	3632.960615
756	3632.540957
757	3632.217719
758	3631.786388
759	3631.396783
760	3630.723245
761	3630.143301
762	3629.558512
763	3628.917799
764	3627.344051
765	3626.455538
766	3626.302622
767	3626.030837
768	3625.63761
769	3625.264317
770	3624.199343
771	3623.697625
772	3623.221647
773	3622.955069
774	3621.052547
775	3620.753532
776	3619.664661
777	3619.127038
778	3618.91645
779	3618.133294
780	3617.55338
781	3616.660468
782	3616.353566
783	3615.774441
784	3615.413454
785	3615.012921
786	3614.49817
787	3614.057848
788	3612.970675
789	3612.114233
790	3611.72767
791	3611.109377
792	3610.372646
793	3609.734286
794	3609.50914
795	3609.110918
796	3608.87238
797	3607.884556
798	3607.145896
799	3606.306159
800	3605.926614
801	3605.348497
802	3604.280917
803	3604.027594
804	3603.047455
805	3602.879999
806	3602.39097
807	3601.759785
808	3601.082733
809	3599.951403
810	3599.566809
811	3598.744962
812	3598.250585
813	3597.760111
814	3595.697576
815	3595.053301
816	3594.898447
817	3593.755622
818	3593.056934
819	3592.826745
820	3592.365912
821	3592.071325
822	3591.620824
823	3591.199895
824	3590.687127
825	3590.266275
826	3589.965803
827	3589.615062
828	3589.246464
829	3587.848593
830	3587.461311
831	3586.921685
832	3586.647399
833	3586.315564
834	3584.956558
835	3584.382853
836	3583.902282
837	3583.700015
838	3583.138937
839	3582.481259
840	3582.15032
841	3581.762271
842	3580.990674
843	3580.284355
844	3579.722314
845	3579.441807
846	3578.139332
847	3577.371026
848	3577.082226
849	3576.827012
850	3576.682487
851	3576.193127
852	3575.915206
853	3575.537154
854	3575.057397
855	3574.783023
856	3574.495366
857	3573.816343
858	3573.453698
859	3572.166308
860	3571.353956
861	3570.767932
862	3570.426882
863	3569.85708
864	3569.614233
865	3568.521663
866	3567.995023
867	3567.54
868	3567.031028
869	3566.896575
870	3566.124005
871	3565.783377
872	3565.586487
873	3565.338632
874	3565.131036
875	3564.831579
876	3563.922459
877	3563.603168
878	3562.719237
879	3562.28895
880	3561.242978
881	3560.830733
882	3560.149339
883	3559.091878
884	3558.65759
885	3558.12243
886	3557.244735
887	3556.82258
888	3556.379056
889	3556.003382
890	3555.853463
891	3555.502222
892	3554.522758
893	3553.948333
894	3553.15299
895	3552.638663
896	3552.238559
897	3551.400125
898	3551.26968
899	3550.857628
900	3549.522888
901	3548.949163
902	3548.396155
903	3547.591633
904	3547.198803
905	3546.931428
906	3546.321695
907	3545.762772
908	3544.751796
909	3544.253289
910	3543.299936
911	3542.517924
912	3542.334396
913	3542.154848
914	3541.227695
915	3541.079996
916	3540.627848
917	3540.110746
918	3539.520206
919	3539.1959
920	3538.274597
921	3537.402846
922	3536.598524
923	3536.059716
924	3535.333179
925	3534.53978
926	3534.055533
927	3533.761185
928	3533.273357
929	3532.845965
930	3532.561918
931	3531.922483
932	3530.756957
933	3530.008379
934	3529.727639
935	3529.380166
936	3529.253205
937	3528.594916
938	3528.417185
939	3527.865611
940	3527.693866
941	3527.322618
942	3527.036843
943	3526.494759
944	3525.791649
945	3525.031847
946	3524.92475
947	3524.670716
948	3523.801704
949	3523.592216
950	3523.267511
951	3522.450794
952	3521.44624
953	3521.133817
954	3520.501
955	3520.255871
956	3520.000184
957	3519.678728
958	3519.177213
959	3518.735179
960	3518.307126
961	3517.543185
962	3517.165412
963	3516.891141
964	3516.662091
965	3516.539515
966	3516.405125
967	3516.099937
968	3515.831539
969	3515.06601
970	3514.849855
971	3514.113342
972	3513.865591
973	3513.450803
974	3512.767741
975	3512.565086
976	3512.374513
977	3512.226043
978	3511.953932
979	3511.631298
980	3511.480376
981	3511.118152
982	3510.682426
983	3508.115951
984	3507.899498
985	3506.802426
986	3506.498011
987	3505.72374
988	3505.281867
989	3504.820468
990	3503.970668
991	3503.049178
992	3502.767975
993	3502.348444
994	3502.234274
995	3501.585711
996	3500.435412
997	3500.173758
998	3499.875723
999	3499.525575
1000	3498.792129
1001	3497.988512
1002	3497.311851
1003	3497.140269
1004	3496.736669
1005	3496.132562
1006	3495.418186
1007	3494.709305
1008	3493.554569
1009	3492.880401
1010	3492.409942
1011	3492.142669
1012	3491.728071
1013	3491.268498
1014	3491.012365
1015	3490.424763
1016	3489.870704
1017	3489.340118
1018	3488.88105
1019	3488.50958
1020	3487.725458
1021	3487.191929
1022	3486.921721
1023	3486.368279
1024	3485.875364
1025	3485.518564
1026	3485.186745
1027	3484.86078
1028	3484.511806
1029	3484.327383
1030	3484.003288
1031	3483.17784
1032	3482.779158
1033	3482.549184
1034	3482.033081
1035	3481.717761
1036	3481.392635
1037	3480.967103
1038	3480.651469
1039	3480.062849
1040	3479.238701
1041	3478.690988
1042	3478.556519
1043	3478.073653
1044	3477.737071
1045	3477.399928
1046	3477.242961
1047	3476.853512
1048	3476.290649
1049	3475.725045
1050	3475.080318
1051	3473.824752
1052	3473.218543
1053	3472.393212
1054	3471.812021
1055	3471.614874
1056	3469.512004
1057	3469.111467
1058	3468.901337
1059	3468.03782
1060	3467.32002
1061	3466.891865
1062	3466.695429
1063	3466.405894
1064	3466.026201
1065	3464.854485
1066	3464.407952
1067	3463.734909
1068	3463.586885
1069	3463.343118
1070	3463.002896
1071	3462.241623
1072	3461.43399
1073	3460.655962
1074	3459.937039
1075	3459.245685
1076	3458.558727
1077	3457.779468
1078	3457.049607
1079	3456.648171
1080	3455.876917
1081	3455.484438
1082	3455.140833
1083	3454.850122
1084	3454.582244
1085	3454.259144
1086	3453.919066
1087	3453.178128
1088	3452.878312
1089	3452.281165
1090	3451.75569
1091	3451.153793
1092	3450.995999
1093	3450.819497
1094	3450.49795
1095	3450.289122
1096	3449.271234
1097	3448.535527
1098	3447.847374
1099	3447.473316
1100	3447.216815
1101	3447.01371
1102	3446.770554
1103	3446.227055
1104	3446.038135
1105	3445.601037
1106	3445.151392
1107	3444.766475
1108	3444.553966
1109	3444.365265
1110	3443.686587
1111	3443.543504
1112	3442.966472
1113	3442.148527
1114	3440.550641
1115	3439.91333
1116	3439.530483
1117	3438.939612
1118	3438.606201
1119	3437.49808
1120	3437.079334
1121	3436.922597
1122	3436.138021
1123	3435.61848
1124	3435.304488
1125	3435.044773
1126	3434.029249
1127	3433.520264
1128	3433.355067
1129	3432.437128
1130	3431.548138
1131	3430.889098
1132	3430.343115
1133	3430.097295
1134	3429.873155
1135	3428.416825
1136	3427.962521
1137	3427.614277
1138	3427.386989
1139	3427.206258
1140	3427.005885
1141	3426.833464
1142	3426.200077
1143	3425.846903
1144	3425.696847
1145	3425.460014
1146	3425.189713
1147	3424.968185
1148	3424.808939
1149	3423.952859
1150	3423.401721
1151	3423.142615
1152	3422.632765
1153	3422.435536
1154	3422.207329
1155	3421.870933
1156	3420.780516
1157	3420.639421
1158	3420.205449
1159	3419.461192
1160	3419.173602
1161	3418.747873
1162	3417.759677
1163	3416.599737
1164	3416.134837
1165	3415.661773
1166	3415.036609
1167	3414.429806
1168	3414.302699
1169	3413.919918
1170	3412.71061
1171	3412.593284
1172	3412.038532
1173	3411.731621
1174	3411.610031
1175	3411.389838
1176	3410.929104
1177	3410.589707
1178	3410.172735
1179	3409.586682
1180	3409.346075
1181	3408.47331
1182	3408.191052
1183	3407.873491
1184	3407.696259
1185	3407.053697
1186	3406.797821
1187	3405.997718
1188	3405.63352
1189	3404.954035
1190	3404.636896
1191	3404.199985
1192	3402.83136
1193	3402.034181
1194	3401.60723
1195	3401.49191
1196	3400.038199
1197	3399.353971
1198	3398.901081
1199	3398.364102
1200	3397.837493
1201	3397.587349
1202	3397.118579
1203	3396.729867
1204	3395.446429
1205	3395.234548
1206	3394.431524
1207	3394.132545
1208	3393.165537
1209	3392.062184
1210	3391.880375
1211	3391.065134
1212	3390.659394
1213	3390.030413
1214	3389.498037
1215	3389.197552
1216	3388.832238
1217	3388.220692
1218	3387.357448
1219	3387.170301
1220	3386.62093
1221	3386.154129
1222	3385.95033
1223	3385.090947
1224	3384.514545
1225	3383.758411
1226	3383.555036
1227	3382.862107
1228	3382.444382
1229	3382.258005
1230	3381.938486
1231	3381.442348
1232	3381.220387
1233	3380.742263
1234	3380.306783
1235	3379.183221
1236	3378.896882
1237	3378.667482
1238	3378.412043
1239	3377.606891
1240	3377.281566
1241	3376.474033
1242	3375.55181
1243	3375.244936
1244	3374.700096
1245	3374.596937
1246	3373.143078
1247	3372.67459
1248	3372.335693
1249	3371.622706
1250	3371.214857
1251	3370.406294
1252	3369.933644
1253	3369.437586
1254	3369.207138
1255	3368.769006
1256	3368.251198
1257	3368.068241
1258	3367.565627
1259	3367.361813
1260	3366.945155
1261	3366.286492
1262	3365.889331
1263	3365.471672
1264	3364.706049
1265	3364.467054
1266	3364.225537
1267	3364.082249
1268	3363.967012
1269	3363.684911
1270	3363.019687
1271	3362.378789
1272	3362.137387
1273	3361.450498
1274	3361.21379
1275	3360.359911
1276	3359.445587
1277	3358.662152
1278	3358.090252
1279	3357.266957
1280	3356.998771
1281	3356.85464
1282	3356.314488
1283	3354.668341
1284	3353.938132
1285	3353.704198
1286	3353.427501
1287	3352.66358
1288	3352.421824
1289	3352.083074
1290	3351.846444
1291	3351.675195
1292	3351.472034
1293	3351.180212
1294	3350.589985
1295	3349.83689
1296	3349.332118
1297	3348.339955
1298	3348.164843
1299	3348.014836
1300	3347.205847
1301	3346.458134
1302	3345.93049
1303	3345.631657
1304	3345.444612
1305	3344.84379
1306	3344.274285
1307	3343.65842
1308	3343.0835
1309	3342.624862
1310	3342.03825
1311	3341.902486
1312	3341.292822
1313	3340.861298
1314	3340.460189
1315	3339.959409
1316	3339.476562
1317	3339.251026
1318	3338.991093
1319	3338.772003
1320	3338.629307
1321	3338.017648
1322	3337.473656
1323	3337.078781
1324	3336.905476
1325	3336.461937
1326	3336.079119
1327	3335.97447
1328	3335.218986
1329	3334.827744
1330	3334.602068
1331	3334.286685
1332	3334.023891
1333	3333.71066
1334	3333.45623
1335	3333.116667
1336	3332.903357
1337	3332.455137
1338	3331.835024
1339	3330.93566
1340	3330.38849
1341	3330.167039
1342	3329.97008
1343	3329.604097
1344	3329.09667
1345	3328.338588
1346	3328.123494
1347	3326.747994
1348	3326.399675
1349	3326.253141
1350	3325.765895
1351	3325.509971
1352	3325.014692
1353	3324.786782
1354	3324.504322
1355	3324.361784
1356	3324.247606
1357	3324.066202
1358	3323.856086
1359	3323.055034
1360	3322.853221
1361	3322.412323
1362	3322.211901
1363	3321.53323
1364	3320.854594
1365	3320.721753
1366	3320.525729
1367	3320.095438
1368	3319.876046
1369	3319.208389
1370	3318.966422
1371	3318.592157
1372	3318.471124
1373	3317.752701
1374	3317.036439
1375	3316.190843
1376	3316.038795
1377	3315.267499
1378	3314.512035
1379	3313.999299
1380	3313.222159
1381	3312.471768
1382	3312.011691
1383	3311.51232
1384	3311.119397
1385	3310.43164
1386	3309.903626
1387	3309.424616
1388	3309.052714
1389	3308.557455
1390	3308.057397
1391	3307.943255
1392	3307.614357
1393	3306.94142
1394	3306.729085
1395	3305.952205
1396	3305.672
1397	3305.498651
1398	3305.387884
1399	3305.126625
1400	3304.666834
1401	3304.535511
1402	3304.15761
1403	3303.569636
1404	3303.244836
1405	3302.937909
1406	3302.518966
1407	3301.746843
1408	3301.52135
1409	3301.001443
1410	3300.210966
1411	3299.587898
1412	3299.029966
1413	3298.693496
1414	3298.353672
1415	3298.07472
1416	3297.790779
1417	3297.49462
1418	3297.371916
1419	3296.469599
1420	3295.974933
1421	3295.857267
1422	3294.863734
1423	3294.723383
1424	3294.372261
1425	3293.950798
1426	3293.780685
1427	3293.17997
1428	3292.812958
1429	3292.313606
1430	3291.749517
1431	3291.358157
1432	3290.90093
1433	3290.64728
1434	3290.065902
1435	3289.67838
1436	3289.173594
1437	3288.687622
1438	3288.574042
1439	3288.402195
1440	3288.046997
1441	3287.523605
1442	3287.352059
1443	3287.0552
1444	3286.823464
1445	3286.598121
1446	3285.967277
1447	3285.712498
1448	3285.343297
1449	3285.065682
1450	3284.303063
1451	3284.242399
1452	3284.09166
1453	3283.357627
1454	3283.004322
1455	3282.728382
1456	3282.08912
1457	3281.900123
1458	3281.374838
1459	3281.166726
1460	3280.013419
1461	3279.497584
1462	3279.174891
1463	3279.018809
1464	3277.873937
1465	3277.278812
1466	3276.989159
1467	3276.328837
1468	3275.635265
1469	3275.519842
1470	3275.282186
1471	3275.031448
1472	3274.627911
1473	3274.02507
1474	3273.648078
1475	3273.591077
1476	3273.297026
1477	3272.88784
1478	3272.715047
1479	3272.59979
1480	3272.220937
1481	3271.821595
1482	3271.560442
1483	3270.810663
1484	3270.441637
1485	3270.279205
1486	3270.032813
1487	3269.622856
1488	3269.36107
1489	3268.884377
1490	3268.417115
1491	3267.955804
1492	3267.557653
1493	3267.151049
1494	3266.548973
1495	3266.270423
1496	3265.93433
1497	3265.243218
1498	3265.091516
1499	3264.877408
1500	3264.633495
1501	3264.017864
1502	3263.122501
1503	3262.970262
1504	3262.803667
1505	3262.40263
1506	3262.222511
1507	3262.061873
1508	3261.693462
1509	3261.480797
1510	3261.233727
1511	3260.818479
1512	3260.494639
1513	3260.175065
1514	3259.876922
1515	3259.668804
1516	3259.557405
1517	3259.385901
1518	3258.706473
1519	3258.627682
1520	3258.495878
1521	3258.018608
1522	3257.604839
1523	3257.329441
1524	3256.729387
1525	3255.672371
1526	3254.934328
1527	3254.363011
1528	3254.02628
1529	3253.769423
1530	3253.407074
1531	3253.019484
1532	3252.832705
1533	3252.206898
1534	3252.104853
1535	3251.548902
1536	3251.190083
1537	3250.586056
1538	3250.466363
1539	3249.977481
1540	3249.682103
1541	3249.366101
1542	3248.957082
1543	3248.466268
1544	3248.17443
1545	3248.07307
1546	3247.748241
1547	3247.312651
1548	3246.745455
1549	3246.473504
1550	3246.204866
1551	3245.946605
1552	3245.80177
1553	3245.60407
1554	3245.47038
1555	3244.961064
1556	3244.459704
1557	3244.036392
1558	3243.69067
1559	3243.434663
1560	3243.224861
1561	3242.814251
1562	3242.560811
1563	3242.019419
1564	3241.203339
1565	3240.839595
1566	3240.67042
1567	3240.193085
1568	3239.776194
1569	3239.294203
1570	3239.045323
1571	3238.36448
1572	3238.217711
1573	3237.638309
1574	3237.218485
1575	3237.165074
1576	3236.909346
1577	3236.483453
1578	3236.027541
1579	3235.540721
1580	3235.281408
1581	3235.076223
1582	3234.88965
1583	3234.422774
1584	3233.74045
1585	3233.393847
1586	3233.195132
1587	3232.500501
1588	3232.205308
1589	3231.973744
1590	3231.687927
1591	3231.451829
1592	3231.312769
1593	3230.817523
1594	3230.664337
1595	3229.40599
1596	3229.192397
1597	3228.980492
1598	3228.75354
1599	3228.479983
1600	3228.279779
1601	3228.143029
1602	3228.009203
1603	3227.749915
1604	3227.638833
1605	3227.241173
1606	3226.420303
1607	3226.270518
1608	3225.946519
1609	3225.539366
1610	3225.381211
1611	3224.949346
1612	3224.820531
1613	3224.450623
1614	3224.080843
1615	3223.813411
1616	3223.565483
1617	3223.168026
1618	3222.468101
1619	3222.284048
1620	3222.180315
1621	3221.843707
1622	3221.357107
1623	3221.094975
1624	3220.550302
1625	3220.247232
1626	3219.935556
1627	3219.406054
1628	3218.827964
1629	3218.593147
1630	3218.354477
1631	3218.199623
1632	3217.988757
1633	3217.697088
1634	3217.221727
1635	3216.89136
1636	3216.62831
1637	3216.221085
1638	3216.117843
1639	3215.901967
1640	3215.672693
1641	3215.212186
1642	3214.530331
1643	3214.221414
1644	3214.010852
1645	3213.836756
1646	3213.325518
1647	3212.820777
1648	3212.717719
1649	3211.958692
1650	3211.62133
1651	3211.529441
1652	3211.292596
1653	3211.005507
1654	3210.792701
1655	3210.661548
1656	3210.494624
1657	3210.146642
1658	3210.031626
1659	3209.657043
1660	3209.275559
1661	3209.140184
1662	3208.887129
1663	3208.479079
1664	3207.953677
